UO,DESCRICAO_UO,VALOR_DOTACAO_INICIAL,VALOR_ATUALIZADO,VALOR_EMPENHADO,PREVISAO,TOTAL,SALDO
24573,INSTITUTO DE PROTEÇÃO E DEFESA DO CONSUMIDOR DE ALAGOAS,530000,955000,836224.26,416073.770200969,1252298.03020097,-297298.030200968
26031,SECRETARIA DE ESTADO DA INFRAESTRUTURA,7869150,7869150,4871243.56,2390585.88888665,7261829.44888665,607320.551113349
26539,SERVIÇOS DE ENGENHARIA DE ALAGOAS S.A. EM LIQUIDAÇÃO,1345166,1345166,349722.55,236221.984391692,585944.534391692,759221.465608308
27524,FUNDO ESTADUAL DE SAÚDE,383223610,388857473.42,281155532.25,159493564.160078,440649096.410078,-51791622.9900783
27527,LABORATÓRIO INDUSTRIAL FARMACÊUTICO EM LIQUIDAÇÃO,613168,613168,192056.73,38963.9478379606,231020.677837961,382147.322162039
27556,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS,192892819,196394229.99,130639640.93,52736511.8360967,183376152.766097,13018077.2239032
28027,"SECRETARIA DE ESTADO DO TRABALHO, EMPREGO E QUALIFICAÇÃO",4176913,4076913,2415228.38,1044780.60161138,3460008.98161138,616904.018388615
29031,"SECRETARIA DE ESTADO DA INDÚSTRIA, COMÉRCIO E SERVIÇOS",6883318,5162488.5,2972661.17,1486330.585,4458991.755,703496.745
29032,SECRETARIA DE ESTADO DO TURISMO,4195415,4195415,2472964.17,1236482.085,3709446.255,485968.745
29033,SECRETARIA DE ESTADO DE RELACOES FEDERATIVAS E INTERNACIONAIS,0,2636526.96,1717034.12,858517.06,2575551.18,60975.7799999998
29538,JUNTA COMERCIAL DO ESTADO DE ALAGOAS,1115830,2320000,1359821.13,679910.565,2039731.695,280268.305
30041,SECRETARIA DE ESTADO DE PREVENÇÃO À VIOLÊNCIA,4795641,4795641,2819181.41,1608922.02796683,4428103.43796683,367537.562033168
34051,SECRETARIA DE ESTADO DE RESSOCIALIZAÇÃO E INCLUSÃO SOCIAL,131174339,131174339,97250659.14,59065977.0311736,156316636.171174,-25142297.1711736
35032,SECRETARIA DE ESTADO DE TRANSPORTE E DESENVOLVIMENTO URBANO,7632098,7632098,5653403.04,3540644.76885014,9194047.80885014,-1561949.80885014
35538,DEPARTAMENTO DE ESTRADAS DE RODAGEM,21600916,21600916,15596205.53,9523595.55094821,25119801.0809482,-3518885.08094821
36021,"SECRETARIA DE ESTADO DO ESPORTE, LAZER E JUVENTUDE",2795473,2795473,1740385.49,952080.07085743,2692465.56085743,103007.43914257
37001,SECRETARIA DE ESTADO DE GOVERNO,24315888,22437050,16088153.55,8044076.775,24132230.325,-1695180.325
38001,SECRETARIA DE ESTADO DA PRIMEIRA INFANCIA,0,1878838,1575810.53,787905.265,2363715.795,-484877.795
41516,BANCO DO ESTADO DE ALAGOAS EM LIQUIDAÇÃO	,50000,50000,50000,25000,50000,0
91997,ENCARGOS GERAIS DO ESTADO - RECURSOS SOB SUPERVISÃO DA SEFAZ,255466792,255466792,94193879.15,64004001.4535576,158197880.603558,97268911.3964424
